id,batch,date,solute_identifier,secondary_solute_identifier,secondary_solute_ratio,solvent,membrane,permeance,pressure,temperature,process_configuration,rejection,exclude
65,OC3,12/8/2024,14187-32-7,None,0.5,Ethyl acetate,GMT-oNF-2,3.897707231,30,21,DE,-0.028,0
66,OC3,12/8/2024,17455-13-9,None,0.5,Ethyl acetate,GMT-oNF-2,3.897707231,30,21,DE,0.153,0
67,OC3,12/8/2024,2321-07-5,None,0.5,Ethyl acetate,DM300,0.27,30,21,DE,0.644121559,0
68,OC3,12/8/2024,14187-32-7,None,0.5,Ethyl acetate,DM300,0.27,30,21,DE,0.432183849,0
69,OC3,12/8/2024,17455-13-9,None,0.5,Ethyl acetate,DM300,0.27,30,21,DE,0.76886765,0
70,OC3,12/8/2024,2321-07-5,None,0.5,Ethyl acetate,SS336,2.439741329,30,21,DE,0.256,0
71,OC3,12/8/2024,14187-32-7,None,0.5,Ethyl acetate,SS336,2.439741329,30,21,DE,0.119,0
72,OC3,12/8/2024,17455-13-9,None,0.5,Ethyl acetate,SS336,2.439741329,30,21,DE,0.25,0
73,OC1,12/25/2024,632-69-9,None,0.5,Acetonitrile,NFX,0.36,30,21,DE,0.805532272,0
74,OC1,12/25/2024,1442433-71-7,None,0.5,Acetonitrile,NFX,0.36,30,21,DE,0.624239263,0
75,OC1,12/25/2024,18531-99-2,None,0.5,Acetonitrile,NFX,0.36,30,21,DE,0.614967462,0
76,OC1,12/25/2024,140924-50-1,None,0.5,Acetonitrile,NFX,0.36,30,21,DE,0.631938514,0
77,OC1,12/25/2024,1416881-52-1,None,0.5,Acetonitrile,NFX,0.36,30,21,DE,0.60799814,0
78,OC1,12/25/2024,632-69-9,None,0.5,Acetonitrile,TS40,1.46,30,21,DE,0.611064543,1
79,OC1,12/25/2024,1442433-71-7,None,0.5,Acetonitrile,TS40,1.46,30,21,DE,0.445139976,1
80,OC1,12/25/2024,18531-99-2,None,0.5,Acetonitrile,TS40,1.46,30,21,DE,0.426247289,1
81,OC1,12/25/2024,140924-50-1,None,0.5,Acetonitrile,TS40,1.46,30,21,DE,0.461998292,1
82,OC1,12/25/2024,1416881-52-1,None,0.5,Acetonitrile,TS40,1.46,30,21,DE,0.445942804,1
83,OC1,12/25/2024,632-69-9,None,0.5,Acetonitrile,PMS600,0.42,30,21,DE,0.204064352,0
84,OC1,12/25/2024,1442433-71-7,None,0.5,Acetonitrile,PMS600,0.42,30,21,DE,0.145672062,0
85,OC1,12/25/2024,18531-99-2,None,0.5,Acetonitrile,PMS600,0.42,30,21,DE,0.114136126,0
86,OC1,12/25/2024,140924-50-1,None,0.5,Acetonitrile,PMS600,0.42,30,21,DE,0.175468484,0
87,OC1,12/25/2024,1416881-52-1,None,0.5,Acetonitrile,PMS600,0.42,30,21,DE,0.10304722,0
88,OC1,12/25/2024,632-69-9,None,0.5,Acetonitrile,GMT-oNF-2,0.153480228,30,21,DE,0.952582557,0
89,OC1,12/25/2024,1442433-71-7,None,0.5,Acetonitrile,GMT-oNF-2,0.153480228,30,21,DE,0.979415904,0
90,OC1,12/25/2024,18531-99-2,None,0.5,Acetonitrile,GMT-oNF-2,0.153480228,30,21,DE,0.720418848,0
91,OC1,12/25/2024,140924-50-1,None,0.5,Acetonitrile,GMT-oNF-2,0.153480228,30,21,DE,0.850936968,0
92,OC1,12/25/2024,1416881-52-1,None,0.5,Acetonitrile,GMT-oNF-2,0.153480228,30,21,DE,0.950686206,0
93,OC1,12/25/2024,632-69-9,None,0.5,Acetonitrile,DM300,0.51909254,30,21,DE,0.916172735,0
94,OC1,12/25/2024,1442433-71-7,None,0.5,Acetonitrile,DM300,0.51909254,30,21,DE,0.832512315,0
95,OC1,12/25/2024,18531-99-2,None,0.5,Acetonitrile,DM300,0.51909254,30,21,DE,0.852356021,0
96,OC1,12/25/2024,140924-50-1,None,0.5,Acetonitrile,DM300,0.51909254,30,21,DE,0.904599659,0
97,OC1,12/25/2024,1416881-52-1,None,0.5,Acetonitrile,DM300,0.51909254,30,21,DE,0.898813678,0
98,OC1,12/25/2024,632-69-9,None,0.5,Acetonitrile,SS336,0.45587198,30,21,DE,0.66469094,0
99,OC1,12/25/2024,1442433-71-7,None,0.5,Acetonitrile,SS336,0.45587198,30,21,DE,0.69669247,0
100,OC1,12/25/2024,18531-99-2,None,0.5,Acetonitrile,SS336,0.45587198,30,21,DE,0.457591623,0
101,OC1,12/25/2024,140924-50-1,None,0.5,Acetonitrile,SS336,0.45587198,30,21,DE,0.626916525,0
102,OC1,12/25/2024,1416881-52-1,None,0.5,Acetonitrile,SS336,0.45587198,30,21,DE,0.557106304,0
103,Alpha,12/26/2024,14323-06-9,None,0.5,Acetonitrile,GMT-oNF-2,0.153480228,30,21,DE,0.947929479,0
104,Alpha,12/26/2024,1449110-90-0,None,0.5,Acetonitrile,GMT-oNF-2,0.153480228,30,21,DE,0.818921668,0
105,Alpha,12/26/2024,14323-06-9,None,0.5,Acetonitrile,SS336,0.45587198,30,21,DE,0.519475195,0
106,Alpha,12/26/2024,1449110-90-0,None,0.5,Acetonitrile,SS336,0.45587198,30,21,DE,0.14750763,0
107,Alpha,12/26/2024,14323-06-9,None,0.5,Acetonitrile,NFX,0.36,30,21,DE,0.132841328,0
108,Alpha,12/26/2024,1449110-90-0,None,0.5,Acetonitrile,NFX,0.36,30,21,DE,0.119226857,0
109,Bravo,12/29/2024,60804-75-3,None,0.5,Acetonitrile,GMT-oNF-2,0.153480228,30,21,DE,0.858383198,0
110,Bravo,12/29/2024,1352428-78-4,None,0.5,Acetonitrile,GMT-oNF-2,0.153480228,30,21,DE,0.78434537,0
111,Bravo,12/29/2024,60804-75-3,None,0.5,Acetonitrile,SS336,0.45587198,30,21,DE,0.287633462,0
112,Bravo,12/29/2024,1352428-78-4,None,0.5,Acetonitrile,SS336,0.45587198,30,21,DE,0.067379463,0
