solute_smiles,NPR1,NPR2,RoG,Asphericity,Eccentricity,InertialShapeFactor,SpherocityIndex
CC(C1=CC=C(C2=[N]([Ir+]345([N]6=CC=CC=C6C7=[N]5C=CC=C7)C8=C(C9=[N]4C=CC=C9)C=CC(C(C)(C)C)=C8)C=CC=C2)C3=C1)(C)C,0.6427960860192324,0.8320253865678955,4.054275694980913,0.06257173162379896,0.7660373305514265,0.0001267130995780647,0.5282331420707468
n12ccccc1c3ccccn3[Ru+2]245(n6c(c7n5cccc7)cccc6)n8c(c9ccccn94)cccc8,0.5539305762760366,0.9797348814886871,3.7322398459252493,0.11860744470376329,0.8325628604895237,0.00028238232747025173,0.7097729112779252
n12ccccc1c3ccccn3[Ru+2]245(n6c(c7n5cccc7)cccc6)n8c(c9ccccn94)cccc8,0.7669572638223167,0.7910166580135067,3.441115452798974,0.03012634425292951,0.6416981809777751,0.00019556277458325085,0.6999468813857966
n1([Ru+2]23(n4c5c(n3ccc6)c6ccc5ccc4)7n8cccc9ccc%10cccn2c%10c89)cccc%11ccc%12cccn7c%12c1%11,0.6876295634762775,0.7351393674475682,3.6957702788186246,0.0579179381436933,0.7260616939581815,0.0001477594152469696,0.5944823942450018
n1([Ru+2]23(n4c5c(n3ccc6)c6ccc5ccc4)7n8cccc9ccc%10cccn2c%10c89)cccc%11ccc%12cccn7c%12c1%11,0.6167839454638084,0.9415996826787638,3.895690654581725,0.07815359352254057,0.7871324949575501,0.0002005247335621929,0.6086124704982109
N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,0.5878664505339822,0.7674556945332747,4.7783999241321,0.09235917253571559,0.8089579941731072,8.534936692647023e-05,0.5372473105676783
CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,0.4267575939178432,0.9085096248235823,5.422818079215903,0.20869723420066183,0.9043660520129297,0.0001085096715239306,0.38509277155094046
Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,0.5309809786555089,0.7059405664051757,4.754190076291457,0.13472138686832225,0.8473837385187646,6.452137243501148e-05,0.41279216287677667
Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,0.4592978826408474,0.9630915805980436,3.1803484367855934,0.18661616703622153,0.8882823059149801,0.0008769419697282543,0.5512937469867585
C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,0.4295425119282985,0.7497903581655079,3.395600950707697,0.2065843330238077,0.9030466380239327,0.0005279987693833348,0.3527544708003418
C1OCCOCCOCCOCCOCCOC1,0.3918370128338027,0.6547979476941123,3.395273067207656,0.2665137992078757,0.9200346490070264,0.0005612238115734152,0.15575737071011705
c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,0.19741840181070425,0.8470983632623516,4.138391233661362,0.5213337145185135,0.9803193227854418,0.0007106434998506034,0.10878941141188486
Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,0.601646283718654,0.6433983851016813,3.4098649022839775,0.11411935013000817,0.7987626363867635,0.0003106809725625896,0.3379807618658766
Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,0.5860213048981473,0.5860343323142686,3.9685348136891965,0.14529826094832543,0.8102956437038722,0.0001346905788205005,0.21916668616313814
c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,0.46106270122633997,0.6924419800274234,4.422209698936604,0.1891423933148255,0.8873675594351368,0.00015945621275901005,0.24420740031970126
c1(/C2=N/C3=N/C(c4ccccc43)=N\5)ccccc1/C(N2)=N/C6=N/C(c7ccccc76)=N\C8=c(cccc9)c9=C5N8,0.48671728666235514,0.5132827142691986,4.734197570037425,0.25052929075879204,0.8735595474059195,9.144455289175556e-05,1.5081055974458345e-09
c1(c(cccc1)c2n3[Cu]45[N](C(c6ccccc67)=N8)=C7N=2)c3=NC9=[N]4C(c%10ccccc%109)=Nc%11n5c8c%12c%11cccc%12,0.49811228383009687,0.5019050081511838,4.469494542026661,0.24999781967613832,0.8671125375045414,8.75582159538145e-05,2.868210593361515e-05
CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,0.27346808382829996,0.9162693529835111,3.35316823283132,0.3954380795439536,0.961881077434876,0.0012294136999224587,0.3453318596073227
CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,0.5962573589770327,0.8769768358792972,3.142508367639938,0.08401208906784106,0.8027933494154855,0.0006171963636613971,0.7341891577037837
c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,0.671491633733376,0.8142295141389416,3.5611884237777804,0.052697050891069984,0.7410121360855579,0.00033905336985614026,0.5794784663981043
CN(c1c(c2ccccc2P(C3CCCCC3)C4CCCCC4)cccc1)C,0.6454719769651511,0.7619327324459046,3.6348885707254404,0.0676131331638582,0.7637839530604837,0.0002732566318434809,0.5105988641193959
CC(c1c(c2ccccc2P(C3CCCCC3)C4CCCCC4)c(C(C)C)cc(C(C)C)c1)C,0.5654899810360247,0.8651211100935198,4.080583597879932,0.10046601267200034,0.8247551644869382,0.00023421858009872393,0.5259453429297261
CC(C)c1c(c2c(OC)ccc(OC)c2P(C(C)(C)C)C(C)(C)C)c(C(C)C)cc(C(C)C)c1,0.585313630499765,0.9110706479830246,3.867247375409731,0.0917823673230007,0.8108069769995722,0.00026801768643642604,0.6888008891448197
N=C(N(C)C)N(C)C,0.4060580116501838,0.8231654607736885,1.9667844033494832,0.22457921544755374,0.9138473018916777,0.005071449227984971,0.4326248864910252
OC[C@H]1N(C(OC(C)(C)C)=O)CCC1,0.3017540732080422,0.820808070390567,2.7493546337384838,0.35028940087963667,0.9533857977242768,0.001897522592479865,0.28923204499115707
CCCC[N+](CCCC)(CCCC)CCCC,0.7918799978952767,0.8005495807040048,3.4398385031121,0.02475030178132606,0.6106767303028472,0.0004567409207801306,0.7113917039341033
S=c1c(NC[C@H]2NCCC2)c(NCc3ccccc3)c1=S,0.3083673123875147,0.7589582341042233,4.067296976824963,0.3460541180884845,0.9512673654924261,0.0004843911210494151,0.1560342628895805
O=c(c(NCc1ccccc1)c2NC[C@H]3N(CCC3)C(OC(C)(C)C)=O)c2=O,0.2869447731493119,0.8858480124353162,4.027001173615036,0.37286939693991894,0.9579471264961809,0.0005365397166927107,0.29733200516578245
O=c(c(N[C@@H](c(ccn1)c2c1ccc(OC)c2)[C@H]3N4CCC(C3)C(C#C)C4)c5Nc6cc(C(F)(F)F)cc(C(F)(F)F)c6)c5=O,0.6193602581714864,0.8880396037913814,4.543273307107953,0.07304226484013483,0.7851069166666089,0.000138544456317546,0.604469968465362
N[C@H]([C@@H]1[N@@](CC[C@H]2C1)C[C@@H]2C=C)c3ccnc4ccc(OC)cc34,0.2923525852351937,0.8301185605607603,3.7052496040136393,0.3635240570319286,0.9563106011679985,0.000678603847356694,0.2669977154859211
NC1CCCCC1,0.3772657462579845,0.7184661148470766,1.8256497463335588,0.26569432804587545,0.9261050462557722,0.006036966219528919,0.3389233010160866
c1cccnc1,0.49358901577712805,0.5064109842228718,1.4689391669143133,0.2501233021561177,0.8696952819833886,0.0060109421031669195,2.2447578031330205e-16
CN(C)CCN(C)C,0.19242659741060647,0.9737847257231682,2.3863460352579815,0.5384721321397178,0.9813113698561616,0.0082825834091471,0.3465409548861144
CCN(CC)CC,0.5683038015931795,0.5683042729230322,2.0174969786656605,0.1632924988020399,0.8228188069646561,0.0025936954041015617,0.33053830264418893
CN(c1ccncc1)C,0.25331827870686513,0.7620892579576062,2.1315208313179093,0.4298431768499568,0.9673829901714166,0.005461663043902749,0.08015428750045485
