,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_PBI,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_PMS600,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v40_fold3,rejection_mcmpnn_combi_v40_fold1,rejection_mcmpnn_combi_v40_fold4,rejection_mcmpnn_combi_v40_fold0,rejection_mcmpnn_combi_v40_fold2,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
1007,1007,1007,1007,1007,1007,1007,GMT-oNF-2,Toluene,OC(=O)C1=C(O)C=CC(=C1)C1=C(F)C=C(F)C=C1,OC(=O)C1=C(O)C=CC(=C1)C1=C(F)C=C(F)C=C1,0.5,30,25,0.341,CF,fda,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,250.2,3.0356000000000014,250.2,3.0356000000000014,0,0,0,0,0,0,0,0,1,0,1,0,0.262292,0.36335424,0.29719144,0.37778687,0.34135446,0.328395802,0.2689353870894649,0.3878562169105351
1008,1008,1008,1008,1008,1008,1008,GMT-oNF-2,Toluene,OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,0.5,30,25,0.341,CF,fda,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,331.34700000000004,1.5833,331.34700000000004,1.5833,0,0,0,0,0,0,0,0,1,0,1,0,0.60615563,0.7123349,0.6983746,0.65992105,0.60576415,0.6565100660000001,0.5944535572802916,0.7185665747197085
1009,1009,1009,1009,1009,1009,1009,GMT-oNF-2,Toluene,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(Cl)=C1Cl)C(=O)OC,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(Cl)=C1Cl)C(=O)OC,0.5,30,25,0.341,CF,fda,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,456.3220000000002,4.245200000000003,456.3220000000002,4.245200000000003,0,0,0,0,0,0,0,0,1,0,1,0,0.84504855,0.7988271,0.7949261,0.73671675,0.82235813,0.799575326,0.7492908237824804,0.8498598282175197
1010,1010,1010,1010,1010,1010,1010,GMT-oNF-2,Toluene,NCCCNCCSP(O)(O)=O,NCCCNCCSP(O)(O)=O,0.5,30,25,0.341,CF,fda,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,214.227,-0.2492999999999999,214.227,-0.2492999999999999,0,0,0,0,0,0,0,0,1,0,1,0,0.6817468,0.24949309,0.30385724,0.63256216,0.41395563,0.456322984,0.2161199266097139,0.6965260413902861
1011,1011,1011,1011,1011,1011,1011,GMT-oNF-2,Toluene,COC(=O)[C@@H]([C@H]1CCCCN1)C1=CC=CC=C1,COC(=O)[C@@H]([C@H]1CCCCN1)C1=CC=CC=C1,0.5,30,25,0.341,CF,fda,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,233.31100000000004,2.0853,233.31100000000004,2.0853,0,0,0,0,0,0,0,0,1,0,1,0,0.4509159,0.66491395,0.4671664,0.36953908,0.53446364,0.497399794,0.36017219520906557,0.6346273927909345
1012,1012,1012,1012,1012,1012,1012,GMT-oNF-2,Toluene,[H][C@]1(CSSC[C@]2([H])NC(=O)[C@H](CC3=CC=C(O)C=C3)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@@H]3CSSC[C@H](NC(=O)[C@H](C)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CSSC[C@H](N)C(=O)N3)NC2=O)C(=O)N[C@@]([H])([C@@H](C)O)C(=O)NCC(=O)N1)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,[H][C@]1(CSSC[C@]2([H])NC(=O)[C@H](CC3=CC=C(O)C=C3)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@@H]3CSSC[C@H](NC(=O)[C@H](C)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CSSC[C@H](N)C(=O)N3)NC2=O)C(=O)N[C@@]([H])([C@@H](C)O)C(=O)NCC(=O)N1)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,0.5,30,25,0.341,CF,fda,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,1526.7670000000005,-5.939200000000021,1526.7670000000005,-5.939200000000021,0,0,0,0,0,0,0,0,1,0,1,0,0.9937166,1.0,0.9336181,0.9613233,1.0,0.9777315999999999,0.9411998874876204,1.0142633125123794
1013,1013,1013,1013,1013,1013,1013,GMT-oNF-2,Toluene,OC(COC1=CC=CC2=C1C(=O)C=C(O2)C(O)=O)COC1=CC=CC2=C1C(=O)C=C(O2)C(O)=O,OC(COC1=CC=CC2=C1C(=O)C=C(O2)C(O)=O)COC1=CC=CC2=C1C(=O)C=C(O2)C(O)=O,0.5,30,25,0.341,CF,fda,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,468.3700000000002,2.1145,468.3700000000002,2.1145,0,0,0,0,0,0,0,0,1,0,1,0,0.7796315,0.663757,0.68095535,0.69809186,0.7031647,0.705120082,0.6499392931750796,0.7603008708249204
1014,1014,1014,1014,1014,1014,1014,GMT-oNF-2,Toluene,CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12,CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12,0.5,30,25,0.341,CF,fda,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,294.442,4.121000000000003,294.442,4.121000000000003,0,0,0,0,0,0,0,0,1,0,1,0,0.48143077,0.56396943,0.49158275,0.34982637,0.44896305,0.467154474,0.37043510309360855,0.5638738449063914
1015,1015,1015,1015,1015,1015,1015,GMT-oNF-2,Toluene,CN(CC(O)=O)C(N)=N,CN(CC(O)=O)C(N)=N,0.5,30,25,0.341,CF,fda,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,131.135,-1.1037299999999988,131.135,-1.1037299999999988,0,0,0,0,0,0,0,0,1,0,1,0,0.5597347,0.60370505,0.5626229,0.41112617,0.5842378,0.544285324,0.44924891317625726,0.6393217348237427
1016,1016,1016,1016,1016,1016,1016,GMT-oNF-2,Toluene,CCCCS(=O)(=O)N[C@@H](CC1=CC=C(OCCCCC2CCNCC2)C=C1)C(O)=O,CCCCS(=O)(=O)N[C@@H](CC1=CC=C(OCCCCC2CCNCC2)C=C1)C(O)=O,0.5,30,25,0.341,CF,fda,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,440.6060000000003,2.9505,440.6060000000003,2.9505,0,0,0,0,0,0,0,0,1,0,1,0,0.7229525,0.7293314,0.7552641,0.7495804,0.7618827,0.7438022200000001,0.7228793409464181,0.764725099053582
